Code,UFMC
020-031,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АСКИНСКОМ РАЙОНЕ
020-032,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В АУРГАЗИНСКОМ РАЙОНЕ
020-033,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАКАЛИНСКОМ РАЙОНЕ
020-034,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БАЛТАЧЕВСКОМ РАЙОНЕ
020-035,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЕЛОКАТАЙСКОМ РАЙОНЕ
020-036,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БИЖБУЛЯКСКОМ РАЙОНЕ
020-037,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БЛАГОВАРСКОМ РАЙОНЕ
020-038,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУЗДЯКСКОМ РАЙОНЕ
020-039,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРАЕВСКОМ РАЙОНЕ
020-040,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В БУРЗЯНОВСКОМ РАЙОНЕ
020-041,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ГАФУРИЙСКОМ РАЙОНЕ
020-042,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДУВАНСКОМ РАЙОНЕ
020-043,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЕРМЕКЕЕВСКОМ РАЙОНЕ
020-044,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИАНЧУРИНСКОМ РАЙОНЕ
020-045,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЗИЛАИРСКОМ РАЙОНЕ
020-046,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИГЛИНСКОМ РАЙОНЕ
020-047,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ИЛИШЕВСКОМ РАЙОНЕ
020-048,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛТАСИНСКОМ РАЙОНЕ
020-049,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРАИДЕЛЬСКОМ РАЙОНЕ
020-050,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАРМАСКАЛИНСКОМ РАЙОНЕ
020-051,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КИГИНСКОМ РАЙОНЕ
020-052,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КРАСНОКАМСКОМ РАЙОНЕ
020-053,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУГАРЧИНСКОМ РАЙОНЕ
020-054,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУШНАРЕНКОВСКОМ РАЙОНЕ
020-055,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КУЮРГАЗИНСКОМ РАЙОНЕ
020-056,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МЕЧЕТЛИНСКОМ РАЙОНЕ
020-057,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИШКИНСКОМ РАЙОНЕ
020-058,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В МИЯКИНСКОМ РАЙОНЕ
020-059,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В НУРИМАНОВСКОМ РАЙОНЕ
020-060,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В САЛАВАТСКОМ РАЙОНЕ
020-061,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИБАШЕВСКОМ РАЙОНЕ
020-062,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В СТЕРЛИТАМАКСКОМ РАЙОНЕ
020-063,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ТАТЫШЛИНСКОМ РАЙОНЕ
020-064,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В УФИМСКОМ РАЙОНЕ
020-065,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ФЕДОРОВСКОМ РАЙОНЕ
020-066,ТП УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ХАЙБУЛЛИНСКОМ РАЙОНЕ
020-067,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧЕКМАГУШЕВСКОМ РАЙОНЕ
020-068,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ЧИШМИНСКОМ РАЙОНЕ
020-069,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ШАРАНСКОМ РАЙОНЕ
020-070,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. МЕЖГОРЬЕ
021-001,МВД РЕСП. БАШКОРТОСТАН
022-001,ДЕМСКИМ РОВД Г. УФЫ
022-002,КАЛИНИНСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022-003,КИРОВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022-004,ЛЕНИНСКИМ РОВД Г. УФЫ
022-005,ОРДЖОНИКИДЗЕВСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022-006,ОКТЯБРЬСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022-007,СОВЕТСКИМ РУВД Г. УФЫ РЕСП. БАШКОРТОСТАН
022-008,ОВД Г. БЕЛЕБЕЯ И БЕЛЕБЕЕВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-009,УВД Г. УФЫ
022-010,УВД Г. БЕЛОРЕЦКА И БЕЛОРЕЦКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-011,УВД Г. НЕФТЕКАМСКА РЕСП. БАШКОРТОСТАН
022-012,ОКТЯБРЬСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022-013,УВД Г. САЛАВАТА РЕСП. БАШКОРТОСТАН
022-014,СИБАЙСКИМ ГОРОДСКИМ ОВД РЕСП. БАШКОРТОСТАН
022-015,УВД Г. СТЕРЛИТАМАКА РЕСП. БАШКОРТОСТАН
022-016,ОВД Г. БИРСКА И БИРСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-017,ОВД Г. ИШИМБАЯ И ИШИМБАЙСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-019,ОВД Г. КУМЕРТАУ РЕСП. БАШКОРТОСТАН
022-020,ТУЙМАЗИНСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022-021,ОВД Г. УЧАЛЫ И УЧАЛИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-022,АБЗЕЛИЛОВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-023,АЛЬШЕЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-024,АРХАНГЕЛЬСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-025,АСКИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-026,АУРГАЗИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-027,ОВД Г. БАЙМАКА И БАЙМАКСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-028,БАКАЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-029,БАЛТАЧЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-031,БЕЛОКАТАЙСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-033,БИЖБУЛЯКСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-034,БЛАГОВАРСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-035,ОВД Г. БЛАГОВЕЩЕНСКА И БЛАГОВЕЩЕНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-036,БУЗДЯКСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-037,БУРАЕВСКИМ РОВД
022-038,БУРЗЯНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-039,ГАФУРИЙСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-040,ОВД Г. ДАВЛЕКАНОВО И ДАВЛЕКАНОВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-041,ДУВАНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-042,ОВД Г. ДЮРТЮЛИ РЕСП. БАШКОРТОСТАН
022-043,ЕРМЕКЕЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-044,ЗИАНЧУРИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-045,ЗИЛАИРСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-046,ИГЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-047,ИЛИШЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-048,ОВД КАЛТАСИНСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-049,КАРАИДЕЛЬСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-050,КАРМАСКАЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-051,КИГИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-052,ОВД КРАСНОКАМСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-053,КУГАРЧИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-054,КУШНАРЕНКОВСКИМ РОВД
022-055,ОВД Г. МЕЛЕУЗА И МЕЛЕУЗОВСКОГО РАЙОНА РЕСП. БАШКОРТОСТАН
022-056,МЕЧЕТЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-057,МИШКИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-058,МИЯКИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-059,НУРИМАНОВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-060,САЛАВАТСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-061,СТЕРЛИБАШЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-062,СТЕРЛИТАМАКСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-063,ТАТЫШЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-064,УФИМСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-065,КУЮРГАЗИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-066,ФЕДОРОВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-067,ХАЙБУЛЛИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-068,ЧЕКМАГУШЕВСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-069,ЧИШМИНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-070,ШАРАНСКИМ РОВД РЕСП. БАШКОРТОСТАН
022-071,ЯНАУЛЬСКИМ ГРОВД РЕСП. БАШКОРТОСТАН
022-072,ОВД Г. МЕЖГОРЬЯ РЕСП. БАШКОРТОСТАН
022-073,ОТДЕЛЕНИЕМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В Г. АГИДЕЛЬ
022-074,ОВД ЗАТО Г. МЕЖГОРЬЕ РЕСП. БАШКОРТОСТАН
023-002,ОТДЕЛОМ МИЛИЦИИ ПОС. ПРИЮТОВО БЕЛЕБЕЕВСКОГО ГРОВД РЕСП. БАШКОРТОСТАН
023-013,АГИДЕЛЬСКИМ ГОВД РЕСП. БАШКОРТОСТАН
030-000,ООВРП И РИГ УФМС РОССИИ ПО РБ
030-001,УФМС РОССИИ ПО РЕСП. БУРЯТИЯ
030-002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЖЕЛЕЗНОДОРОЖНОМ РАЙОНЕ Г. УЛАН-УДЭ
030-003,ТП ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЖЕЛЕЗНОДОРОЖНОМ РАЙОНЕ Г. УЛАН-УДЭ
030-004,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ОКТЯБРЬСКОМ РАЙОНЕ Г. УЛАН-УДЭ
030-005,ТП № 1 ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ОКТЯБРЬСКОМ РАЙОНЕ Г. УЛАН-УДЭ
030-006,ТП № 2 ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ОКТЯБРЬСКОМ РАЙОНЕ Г. УЛАН-УДЭ
030-007,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В СОВЕТСКОМ РАЙОНЕ Г. УЛАН-УДЭ
030-008,ТП В ПОС. ЗАРЕЧНЫЙ ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В СОВЕТСКОМ РАЙОНЕ Г. УЛАН-УДЭ
030-009,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В БАРГУЗИНСКОМ РАЙОНЕ
030-010,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС. УСТЬ-БАРГУЗИН
030-011,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В БАУНТОВСКОМ РАЙОНЕ
030-012,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В БИЧУРСКОМ РАЙОНЕ
030-013,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ДЖИДИНСКОМ РАЙОНЕ
030-014,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС. ДЖИДА
030-015,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЕРАВНИНСКОМ РАЙОНЕ
030-016,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЗАИГРАЕВСКОМ РАЙОНЕ
030-017,ТП В ПОС. ОНОХОЙ ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЗАИГРАЕВСКОМ РАЙОНЕ
030-018,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ЗАКАМЕНСКОМ РАЙОНЕ
030-019,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ИВОЛГИНСКОМ РАЙОНЕ
030-020,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КАБАНСКОМ РАЙОНЕ
030-021,ТП В Г. БАБУШКИН ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КАБАНСКОМ РАЙОНЕ
030-022,ТП В ПГТ СЕЛЕНГИНСК ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КАБАНСКОМ РАЙОНЕ
030-023,ТП В С. КУДАРА ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КАБАНСКОМ РАЙОНЕ
030-024,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КИЖИНГИНСКОМ РАЙОНЕ
030-025,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КУРУМКАНСКОМ РАЙОНЕ
030-026,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КЯХТИНСКОМ РАЙОНЕ
030-027,ТП В ПОС. КУДАРА-СОМОН ОУФМС РОССИИ ПО РЕСП. БУРЯТИЯ В КЯХТИНСКОМ РАЙОНЕ
030-028,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В МУЙСКОМ РАЙОНЕ
030-029,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС. СЕВЕРОМУЙСК
030-030,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В МУХОРШИБИРСКОМ РАЙОНЕ
030-031,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС.САГАН-НУР
030-032,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ОКИНСКОМ РАЙОНЕ
030-033,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В С. ТУРУНТАЕВО
030-034,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС. ИЛЬИНКА
030-035,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В СЕВЕРОБАЙКАЛЬСКОМ РАЙОНЕ В ПГТ НИЖНЕАНГАРСК
030-036,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ПОС. НОВЫЙ-УОЯН
030-037,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В СЕВЕРОБАЙКАЛЬСКОМ РАЙОНЕ В Г. СЕВЕРОБАЙКАЛЬСК
030-038,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В СЕЛЕНГИНСКОМ РАЙОНЕ
030-039,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ТАРБАГАТАЙСКОМ РАЙОНЕ
030-040,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ТУНКИНСКОМ РАЙОНЕ
030-041,ТП УФМС РОССИИ ПО РЕСП. БУРЯТИЯ В ХОРИНСКОМ РАЙОНЕ
031-001,МВД РЕСП. БУРЯТИЯ
031-022,ОТДЕЛОМ ОФОРМЛЕНИЯ ВИЗ РАЗРЕШЕНИЙ ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН
032-001,СОВЕТСКИМ ОВД Г. УЛАН-УДЭ
032-002,ОВД ЖЕЛЕЗНОДОРОЖНОГО РАЙОНА Г. УЛАН-УДЭ РЕСП. БУРЯТИЯ
032-003,ОТДЕЛЕНИЕМ ВНУТРЕННИХ ДЕЛ ОКТЯБРЬСКОГО РАЙОНА Г. УЛАН-УДЭ
032-004,ОВД БАРГУЗИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-005,ОВД БАУНТОВСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-006,ОВД БИЧУРСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-007,ОВД ДЖИДИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-008,ОВД ЕРАВНИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-009,ОВД ЗАИГРАЕВСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-010,ОВД ЗАКАМЕНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-011,ОВД КАБАНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-012,ОВД КИЖИНГИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-013,ОВД КУРУМКАНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-014,ОВД КЯХТИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-015,ОВД МУЙСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-016,ОВД МУХОРШИБИРСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-017,ОВД ОКИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-018,ПРИБАЙКАЛЬСКИМ РОВД РЕСП. БУРЯТИЯ
032-019,ОВД СЕВЕРОБАЙКАЛЬСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-020,СЕВЕРОБАЙКАЛЬСКИМ ГОВД РЕСП. БУРЯТИЯ
032-021,СЕЛЕНГИНСКИМ ГРОВД РЕСП. БУРЯТИЯ
032-022,ТУНКИНСКИМ РОВД РЕСП. БУРЯТИЯ
032-023,ОВД ИВОЛГИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
032-024,ТАРБАГАТАЙСКИМ РОВД РЕСП. БУРЯТИЯ
032-025,ХОРИНСКИМ РОВД РЕСП. БУРЯТИЯ
033-001,ЗАГОРСКИМ ОМ ОВД ЖЕЛЕЗНОДОРОЖНОГО РАЙОНА Г. УЛАН-УДЭ РЕСП. БУРЯТИЯ
033-002,ЗАРЕЧНЫМ ОМ ОВД СОВЕТСКОГО РАЙОНА Г. УЛАН-УДЭ
033-003,ОКТЯБРЬСКИМ ОМ ОВД ОКТЯБРЬСКОГО РАЙОНА Г. УЛАН-УДЭ РЕСП. БУРЯТИЯ
033-005,УСТЬ-БАРГУЗИНСКИМ ОМ ОВД БАРГУЗИНСКОГО РАЙОНА РЕСП. БУРЯТИЯ
